시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
강원도 원주시 반곡동,2069,2069,0,이편한세상반곡,59.8407,202201,5,"27,000",1,2018,오리현길 62,,중개거래,강원 원주시
강원도 원주시 봉산동,1201-2,1201,2,동신,84.48,202201,5,"16,300",1,1998,행구로 102,,중개거래,강원 원주시
강원도 원주시 봉산동,1201,1201,0,삼익,59.99,202201,10,"13,100",5,1995,행구로 84,,중개거래,강원 원주시
강원도 원주시 봉산동,1201,1201,0,삼익,59.99,202201,13,"12,500",1,1995,행구로 84,,중개거래,강원 원주시
강원도 원주시 소초면 장양리,816,816,0,영진1차,52.8,202201,10,"5,000",10,1992,장막2길 12,,중개거래,강원 횡성군
강원도 원주시 소초면 장양리,816-2,816,2,영진4차,37.12,202201,13,"2,500",11,2006,장막2길 10,,중개거래,강원 원주시
강원도 원주시 소초면 장양리,816-2,816,2,영진4차,37.12,202201,13,"2,500",1,2006,장막2길 10,,중개거래,강원 원주시
강원도 원주시 소초면 장양리,816-2,816,2,영진4차,49.8,202201,13,"5,000",9,2006,장막2길 10,,중개거래,강원 횡성군
강원도 원주시 원동,295,295,0,원동주공2,51.02,202201,14,"21,000",2,1989,무실로 121,,중개거래,강원 원주시
강원도 원주시 일산동,272-3,272,3,신진빌리지,84.79,202201,4,"9,500",5,1989,천사로 130,,중개거래,강원 원주시
강원도 원주시 일산동,333-3,333,3,우보삼성,42.96,202201,3,"7,900",10,1993,남산로 103,,중개거래,강원 원주시
강원도 원주시 일산동,333-3,333,3,우보삼성,42.96,202201,8,"7,000",1,1993,남산로 103,,중개거래,강원 원주시
강원도 원주시 일산동,247-162,247,162,일산국제,59.91,202201,5,"9,000",9,2001,남산로 141,,직거래,-
강원도 원주시 지정면 가곡리,1501,1501,0,원주롯데캐슬골드파크2차(6단지),59.9862,202201,11,"33,600",14,2019,신지정로 300,,직거래,-
강원도 원주시 지정면 가곡리,1461,1461,0,호반베르디움더힐,59.9991,202201,11,"29,300",10,2019,신지정로 295,,중개거래,강원 원주시
강원도 원주시 태장동,580,580,0,금광포란재1단지,84.961,202201,14,"17,700",4,2006,포란재로 36,,중개거래,강원 원주시
강원도 원주시 태장동,1040-8,1040,8,대흥2,59.94,202201,11,"8,500",7,1995,흥양로 30,,중개거래,강원 원주시
강원도 원주시 태장동,1836,1836,0,백운3차,49.29,202201,6,"5,300",7,2000,태장공단길 10,,중개거래,강원 원주시
강원도 원주시 태장동,551,551,0,삼정백조,59.4,202201,8,"7,500",11,1997,흥양로102번길 22,,중개거래,강원 원주시
강원도 원주시 태장동,971,971,0,상록아파트,53.82,202201,6,"5,150",4,1992,현충로 234,,중개거래,강원 원주시
강원도 원주시 태장동,971,971,0,상록아파트,56.34,202201,10,"5,200",5,1992,현충로 234,,중개거래,강원 원주시
강원도 원주시 태장동,891-1,891,1,영진2,84.76,202201,10,"7,900",2,1993,현충로 155,,직거래,-
강원도 원주시 태장동,128-1,128,1,태장동보렉스(8차),59.88,202201,7,"9,800",17,1997,치악로 2033,,중개거래,강원 원주시
강원도 원주시 태장동,129,129,0,태장동성호아파트,49.995,202201,11,"3,330",11,1998,치악로 2047,,직거래,-
강원도 원주시 태장동,2705,2705,0,태장주공1단지,84.73,202201,7,"13,800",7,1997,흥양로51번길 22,,중개거래,강원 원주시
강원도 원주시 태장동,2708,2708,0,태장주공2,59.67,202201,8,"10,800",15,1997,흥양로51번길 18,,중개거래,강원 원주시
강원도 원주시 태장동,2708,2708,0,태장주공3,49.61,202201,6,"7,700",8,1997,흥양로51번길 16,,중개거래,강원 원주시
강원도 원주시 태장동,682,682,0,현대,84.482,202201,4,"14,800",10,1995,현충로58번길 29,,중개거래,강원 원주시
강원도 원주시 판부면 서곡리,592,592,0,거장2차아파트,27.36,202201,12,"7,000",6,2002,남원로 223,,중개거래,강원 원주시
강원도 원주시 판부면 서곡리,592,592,0,거장2차아파트,27.36,202201,12,"6,000",14,2002,남원로 223,,직거래,-
강원도 원주시 판부면 서곡리,446,446,0,원주더샵아파트,157.316,202201,13,"51,000",9,2006,시청로 264,,중개거래,강원 원주시
강원도 원주시 행구동,1658-4,1658,4,현대,84.97,202201,10,"14,500",2,1997,행구로 216,,중개거래,강원 원주시
강원도 원주시 흥업면 사제리,337,337,0,거장,32.67,202201,3,"2,500",5,1999,사제로 483,,중개거래,강원 원주시
강원도 원주시 흥업면 흥업리,1827,1827,0,남원주두산위브,84.8613,202201,3,"27,000",15,2009,북원로 1600,,중개거래,강원 원주시
강원도 원주시 흥업면 흥업리,1827,1827,0,남원주두산위브,84.8613,202201,8,"26,000",9,2009,북원로 1600,,중개거래,강원 원주시
강원도 원주시 흥업면 흥업리,86,86,0,흥업경동아파트,39.698,202201,11,"6,300",2,2000,울업1길 33,,중개거래,강원 원주시
강원도 인제군 인제읍 남북리,833,833,0,인제라온프라이빗,59.91,202201,12,"19,500",17,2020,인제로112번길 22,,직거래,-
강원도 인제군 인제읍 덕산리,666,666,0,한양쉐르빌(101동),53.653,202201,13,"8,600",7,2004,내린천로 6760,,중개거래,강원 인제군
강원도 정선군 사북읍 사북리,435-1,435,1,도사곡주공1,45.85,202201,12,"3,000",1,1984,도사곡길 21,,직거래,-
강원도 정선군 사북읍 사북리,317-193,317,193,라베리떼,17.46,202201,7,"5,300",7,2014,사북7길 8,,직거래,-
강원도 정선군 정선읍 북실리,746-6,746,6,미소빌,31.58,202201,13,"6,200",16,1997,정선로 1245-6,,직거래,-
강원도 정선군 정선읍 북실리,772-2,772,2,북실주공,39.69,202201,12,"6,700",4,1990,정선로 1182,,직거래,-
강원도 철원군 서면 와수리,864-1,864,1,신원백마,84.93,202201,7,"12,500",8,1996,와수로 246-1,,중개거래,강원 철원군
강원도 철원군 서면 와수리,864-1,864,1,신원백마,84.93,202201,10,"14,000",6,1996,와수로 246-1,,중개거래,강원 철원군
강원도 철원군 철원읍 화지리,Feb-71,71,2,산호그린빌,59.85,202201,7,"11,300",5,2003,금학로317번길 17,,직거래,-
강원도 춘천시 동내면 거두리,936,936,0,초록지붕,84.4255,202201,1,"22,900",4,2006,거두택지길 7,,중개거래,강원 춘천시
강원도 춘천시 동내면 거두리,1038,1038,0,현대성우오스타,84.96,202201,5,"31,900",8,2009,춘천순환로 93,,중개거래,강원 춘천시
강원도 춘천시 동면 만천리,973,973,0,대동다숲아파트,84.6937,202201,3,"21,600",3,2008,후석로326번길 63,,중개거래,강원 춘천시
강원도 춘천시 동면 만천리,971,971,0,한일유앤아이,84.9925,202201,10,"23,200",12,2006,만천로 107,,중개거래,강원 춘천시
강원도 춘천시 동면 장학리,981,981,0,두산위브,117.018,202201,4,"35,000",11,2008,삭주로 231,,직거래,-
